"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2013208-<b>T</b>,"3 x 10-17",,NR,'-,'-,'-,"RBM6, RBM5","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:50091966
rs28487964-<b>A</b>,"1 x 10-16",,NR,'-,'-,'-,CTDSPL2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:44492177
rs4418728-<b>T</b>,"1 x 10-16",,NR,'-,'-,'-,"CYP26A1, NIP7P1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:93079967
rs11230661-<b>A</b>,"1 x 10-16",,NR,'-,'-,'-,OR4P1P,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:55683837
rs235314-<b>T</b>,"3 x 10-16",,NR,'-,'-,'-,PTTG1IP,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,21:44851537
rs2908522-<b>G</b>,"4 x 10-16",,NR,'-,'-,'-,LINC01625,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:139514262
rs1047891-<b>A</b>,"5 x 10-16",,NR,'-,'-,'-,CPS1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,2:210675783
rs56960668-<b>A</b>,"7 x 10-16",,NR,'-,'-,'-,"GPIHBP1, ZFP41","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:143218568
rs28873836-<b>C</b>,"8 x 10-16",,NR,'-,'-,'-,"ZNF577, FPR3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:51811402
rs836546-<b>A</b>,"4 x 10-15",,NR,'-,'-,'-,DAGLB,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:6440037
rs10955992-<b>C</b>,"2 x 10-14",,NR,'-,'-,'-,SNTB1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:120860224
rs1154988-<b>A</b>,"3 x 10-14",,NR,'-,'-,'-,"MSL2, PCCB","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:136206349
rs12753251-<b>A</b>,"2 x 10-13",,NR,'-,'-,'-,"C1orf220, RNA5SP69","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:178560763
rs80080062-<b>G</b>,"1 x 10-12",,NR,'-,'-,'-,ETV5,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:186094380
rs190528931-<b>A</b>,"5 x 10-12",,NR,'-,'-,'-,MACROD1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:64143801
rs60695258-<b>T</b>,"1 x 10-11",,NR,'-,'-,'-,AFF1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:87101557
rs174566-<b>G</b>,"7 x 10-42",,NR,'-,'-,'-,"FADS1, FADS2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:61824890
rs1215112-<b>A</b>,"4 x 10-41",,NR,'-,'-,'-,TTC39B,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,9:15303585
rs2954021-<b>G</b>,"5 x 10-39",,NR,'-,'-,'-,"TRIB1, LINC00861","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:125469835
rs2925979-<b>C</b>,"8 x 10-39",,NR,'-,'-,'-,CMIP,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:81501185
rs112259268-<b>A</b>,"9 x 10-34",,NR,'-,'-,'-,"CFAP97D1, MPP3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,17:43797377
rs13135092-<b>G</b>,"2 x 10-33",,NR,'-,'-,'-,SLC39A8,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:102276925
rs150844304-<b>C</b>,"3 x 10-33",,NR,'-,'-,'-,TP53BP1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:43434427
rs11762784-<b>A</b>,"6 x 10-32",,NR,'-,'-,'-,"H4P1, KLF14","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:130739885
rs2737216-<b>T</b>,"2 x 10-31",,NR,'-,'-,'-,TRPS1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:115617852
rs509728-<b>C</b>,"4 x 10-30",,NR,'-,'-,'-,"LINC02702, BUD13","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:116662450
rs116843064-<b>A</b>,"8 x 10-30",,NR,'-,'-,'-,ANGPTL4,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:8364439
rs7298909-<b>T</b>,"2 x 10-29",,NR,'-,'-,'-,SBNO1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:123346392
rs10769254-<b>C</b>,"4 x 10-29",,NR,'-,'-,'-,MYBPC3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:47340914
rs6461354-<b>T</b>,"1 x 10-28",,NR,'-,'-,'-,SNX13,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:17874977
rs7528419-<b>G</b>,"4 x 10-28",,NR,'-,'-,'-,CELSR2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:109274570
rs4847240-<b>G</b>,"4 x 10-28",,NR,'-,'-,'-,DR1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:93352389
rs8071884-<b>G</b>,"6 x 10-28",,NR,'-,'-,'-,PGS1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,17:78401977
rs2972143-<b>G</b>,"6 x 10-28",,NR,'-,'-,'-,"NYAP2, MIR5702","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,2:226251649
rs881844-<b>G</b>,"8 x 10-28",,NR,'-,'-,'-,STARD3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,17:39653965
rs7096937-<b>C</b>,"3 x 10-27",,NR,'-,'-,'-,GPAM,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:112190660
rs79624003-<b>G</b>,"1 x 10-25",,NR,'-,'-,'-,MLXIPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:73598455
rs10744826-<b>G</b>,"1 x 10-24",,NR,'-,'-,'-,UBE3B,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:109527707
rs7445-<b>T</b>,"1 x 10-24",,NR,'-,'-,'-,UBE2L3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,22:21622758
rs4660303-<b>A</b>,"4 x 10-24",,NR,'-,'-,'-,"HEYL, PABPC4","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:39594801
rs465002-<b>T</b>,"1 x 10-22",,NR,'-,'-,'-,C5orf67,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,5:56512648
chr12:7725904-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,'-,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,"Mapping not available"
rs11246533-<b>T</b>,"7 x 10-6",,NR,'-,'-,'-,OR4A6P,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:54742025
rs7570971-<b>A</b>,"8 x 10-6",,NR,'-,'-,'-,RAB3GAP1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,2:135080336
rs58084604-<b>T</b>,"2 x 10-11",,NR,'-,'-,'-,RNU4-17P,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,18:60182196
rs78459082-<b>C</b>,"3 x 10-11",,NR,'-,'-,'-,PDE3A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:20289851
rs57457691-<b>C</b>,"5 x 10-11",,NR,'-,'-,'-,PEPD,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:33420799
rs28364406-<b>T</b>,"7 x 10-11",,NR,'-,'-,'-,CAPN3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:42387225
rs9491694-<b>A</b>,"2 x 10-10",,NR,'-,'-,'-,RSPO3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:127115955
rs41266779-<b>T</b>,"2 x 10-10",,NR,'-,'-,'-,"H3C1, H4C1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:26021644
rs56144648-<b>A</b>,"6 x 10-10",,NR,'-,'-,'-,CCND3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:42021004
rs6907508-<b>G</b>,"8 x 10-10",,NR,'-,'-,'-,ILRUN,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:34624313
rs2963472-<b>A</b>,"8 x 10-10",,NR,'-,'-,'-,'-,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,5:158572014
rs3802548-<b>A</b>,"1 x 10-9",,NR,'-,'-,'-,MARCHF8,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:45457297
rs4820323-<b>G</b>,"2 x 10-9",,NR,'-,'-,'-,"PLA2G6, MAFF","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,22:38203760
rs658118-<b>T</b>,"4 x 10-9",,NR,'-,'-,'-,FOLH1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:49233490
rs76127683-<b>C</b>,"5 x 10-9",,NR,'-,'-,'-,"LACTB, TPM1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:63099163
rs1531517-<b>A</b>,"5 x 10-9",,NR,'-,'-,'-,"CEACAM16-AS1, BCL3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:44738916
rs72729610-<b>G</b>,"6 x 10-9",,NR,'-,'-,'-,TRIM2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:153269813
rs10713774-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"LINC02357, SMIM20","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:26048829
rs5014650-<b>A</b>,"3 x 10-8",,NR,'-,'-,'-,"PLG, LPA","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:160678471
rs4898521-<b>A</b>,"3 x 10-8",,NR,'-,'-,'-,"DNAJC22, SPATS2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:49361379
chr16:53822169-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,'-,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,"Mapping not available"
rs34311866-<b>C</b>,"8 x 10-8",,NR,'-,'-,'-,TMEM175,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:958159
